file,year,var_code
FAM2009ER_full.csv,2009,ER42074
FAM2009ER_full.csv,2009,ER42075
FAM2009ER_full.csv,2009,ER42076
FAM2009ER_full.csv,2009,ER42077
FAM2009ER_full.csv,2009,ER42078
FAM2009ER_full.csv,2009,ER42079
FAM2009ER_full.csv,2009,ER42080
FAM2009ER_full.csv,2009,ER42081
FAM2009ER_full.csv,2009,ER42082
FAM2009ER_full.csv,2009,ER42083
FAM2009ER_full.csv,2009,ER42084
FAM2009ER_full.csv,2009,ER42085
FAM2009ER_full.csv,2009,ER42086
FAM2009ER_full.csv,2009,ER42087
FAM2009ER_full.csv,2009,ER42088
FAM2009ER_full.csv,2009,ER42089
FAM2009ER_full.csv,2009,ER42090
FAM2009ER_full.csv,2009,ER42091
FAM2009ER_full.csv,2009,ER42092
FAM2009ER_full.csv,2009,ER42093
FAM2009ER_full.csv,2009,ER42094
FAM2009ER_full.csv,2009,ER42095
FAM2009ER_full.csv,2009,ER42096
FAM2009ER_full.csv,2009,ER42097
FAM2009ER_full.csv,2009,ER42098
FAM2009ER_full.csv,2009,ER42099
FAM2009ER_full.csv,2009,ER42100
FAM2009ER_full.csv,2009,ER42101
FAM2009ER_full.csv,2009,ER42102
FAM2009ER_full.csv,2009,ER42103
FAM2009ER_full.csv,2009,ER42104
FAM2009ER_full.csv,2009,ER42105
FAM2009ER_full.csv,2009,ER42106
FAM2009ER_full.csv,2009,ER42107
FAM2009ER_full.csv,2009,ER42108
FAM2009ER_full.csv,2009,ER42109
FAM2009ER_full.csv,2009,ER42110
FAM2009ER_full.csv,2009,ER42111
FAM2009ER_full.csv,2009,ER42112
FAM2009ER_full.csv,2009,ER42113
FAM2009ER_full.csv,2009,ER42114
FAM2009ER_full.csv,2009,ER42115
FAM2009ER_full.csv,2009,ER42116
FAM2009ER_full.csv,2009,ER42117
FAM2009ER_full.csv,2009,ER42118
FAM2009ER_full.csv,2009,ER42119
FAM2009ER_full.csv,2009,ER42120
FAM2009ER_full.csv,2009,ER42121
FAM2009ER_full.csv,2009,ER42122
FAM2009ER_full.csv,2009,ER42123
FAM2009ER_full.csv,2009,ER42124
FAM2009ER_full.csv,2009,ER42125
FAM2009ER_full.csv,2009,ER42126
FAM2009ER_full.csv,2009,ER42127
FAM2009ER_full.csv,2009,ER42128
FAM2009ER_full.csv,2009,ER42129
FAM2009ER_full.csv,2009,ER42130
FAM2009ER_full.csv,2009,ER42131
FAM2009ER_full.csv,2009,ER42132
FAM2009ER_full.csv,2009,ER42133
FAM2009ER_full.csv,2009,ER42134
FAM2009ER_full.csv,2009,ER42135
FAM2009ER_full.csv,2009,ER42136
FAM2009ER_full.csv,2009,ER42137
FAM2009ER_full.csv,2009,ER42138
FAM2009ER_full.csv,2009,ER42139
FAM2009ER_full.csv,2009,ER42140
FAM2009ER_full.csv,2009,ER42141
FAM2009ER_full.csv,2009,ER42142
FAM2009ER_full.csv,2009,ER42143
FAM2009ER_full.csv,2009,ER42144
FAM2009ER_full.csv,2009,ER42145
FAM2009ER_full.csv,2009,ER42146
FAM2009ER_full.csv,2009,ER42147
FAM2009ER_full.csv,2009,ER42148
FAM2009ER_full.csv,2009,ER42149
FAM2009ER_full.csv,2009,ER42150
FAM2009ER_full.csv,2009,ER42151
FAM2009ER_full.csv,2009,ER42152
FAM2009ER_full.csv,2009,ER42153
FAM2009ER_full.csv,2009,ER42154
FAM2009ER_full.csv,2009,ER42155
FAM2009ER_full.csv,2009,ER42156
FAM2009ER_full.csv,2009,ER42157
FAM2009ER_full.csv,2009,ER42158
FAM2009ER_full.csv,2009,ER42159
FAM2009ER_full.csv,2009,ER42160
FAM2009ER_full.csv,2009,ER42161
FAM2009ER_full.csv,2009,ER42162
FAM2009ER_full.csv,2009,ER42163
FAM2009ER_full.csv,2009,ER42164
FAM2009ER_full.csv,2009,ER42165
FAM2009ER_full.csv,2009,ER42166
FAM2009ER_full.csv,2009,ER42167
FAM2009ER_full.csv,2009,ER42168
FAM2009ER_full.csv,2009,ER42169
FAM2009ER_full.csv,2009,ER42170
FAM2009ER_full.csv,2009,ER42171
FAM2009ER_full.csv,2009,ER42172
FAM2009ER_full.csv,2009,ER42173
FAM2009ER_full.csv,2009,ER42174
FAM2009ER_full.csv,2009,ER42175
FAM2009ER_full.csv,2009,ER42176
FAM2009ER_full.csv,2009,ER42177
FAM2009ER_full.csv,2009,ER42178
FAM2009ER_full.csv,2009,ER42179
FAM2009ER_full.csv,2009,ER42180
FAM2009ER_full.csv,2009,ER42181
FAM2009ER_full.csv,2009,ER42182
FAM2009ER_full.csv,2009,ER42183
FAM2009ER_full.csv,2009,ER42184
FAM2009ER_full.csv,2009,ER42185
FAM2009ER_full.csv,2009,ER42186
FAM2009ER_full.csv,2009,ER42187
FAM2009ER_full.csv,2009,ER42188
FAM2009ER_full.csv,2009,ER42189
FAM2009ER_full.csv,2009,ER42190
FAM2009ER_full.csv,2009,ER42191
FAM2009ER_full.csv,2009,ER42192
FAM2009ER_full.csv,2009,ER42193
FAM2009ER_full.csv,2009,ER42194
FAM2009ER_full.csv,2009,ER42195
FAM2009ER_full.csv,2009,ER42196
FAM2009ER_full.csv,2009,ER42197
FAM2009ER_full.csv,2009,ER42198
FAM2009ER_full.csv,2009,ER42199
FAM2009ER_full.csv,2009,ER42200
FAM2009ER_full.csv,2009,ER42201
FAM2009ER_full.csv,2009,ER42202
FAM2009ER_full.csv,2009,ER42203
FAM2009ER_full.csv,2009,ER42204
FAM2009ER_full.csv,2009,ER42205
FAM2009ER_full.csv,2009,ER42206
FAM2009ER_full.csv,2009,ER42207
FAM2009ER_full.csv,2009,ER42208
FAM2009ER_full.csv,2009,ER42209
FAM2009ER_full.csv,2009,ER42210
FAM2009ER_full.csv,2009,ER42211
FAM2009ER_full.csv,2009,ER42212
FAM2009ER_full.csv,2009,ER42213
FAM2009ER_full.csv,2009,ER42214
FAM2009ER_full.csv,2009,ER42215
FAM2009ER_full.csv,2009,ER42216
FAM2009ER_full.csv,2009,ER42217
FAM2009ER_full.csv,2009,ER42218
FAM2009ER_full.csv,2009,ER42219
FAM2009ER_full.csv,2009,ER42220
FAM2009ER_full.csv,2009,ER42221
FAM2009ER_full.csv,2009,ER42222
FAM2009ER_full.csv,2009,ER42223
FAM2009ER_full.csv,2009,ER42224
FAM2009ER_full.csv,2009,ER42225
FAM2009ER_full.csv,2009,ER42226
FAM2009ER_full.csv,2009,ER42227
FAM2009ER_full.csv,2009,ER42228
FAM2009ER_full.csv,2009,ER42229
FAM2009ER_full.csv,2009,ER42230
FAM2009ER_full.csv,2009,ER42231
FAM2009ER_full.csv,2009,ER42232
FAM2009ER_full.csv,2009,ER42233
FAM2009ER_full.csv,2009,ER42234
FAM2009ER_full.csv,2009,ER42235
FAM2009ER_full.csv,2009,ER42236
FAM2009ER_full.csv,2009,ER42237
FAM2009ER_full.csv,2009,ER42238
FAM2009ER_full.csv,2009,ER42239
FAM2009ER_full.csv,2009,ER42240
FAM2009ER_full.csv,2009,ER42241
FAM2009ER_full.csv,2009,ER42242
FAM2009ER_full.csv,2009,ER42243
FAM2009ER_full.csv,2009,ER42244
FAM2009ER_full.csv,2009,ER42245
FAM2009ER_full.csv,2009,ER42246
FAM2009ER_full.csv,2009,ER42247
FAM2009ER_full.csv,2009,ER42248
FAM2009ER_full.csv,2009,ER42249
FAM2009ER_full.csv,2009,ER42250
FAM2009ER_full.csv,2009,ER42251
