canonical,year,file_type,var_code,label,category,dtype,required,transform
ira_type,2007,WLTH,S818,,Retirement/IRA,,0,
ira_type_A,2007,WLTH,S818A,,Retirement/IRA,,0,
ira_withdrawal,2007,WLTH,S817,,Retirement/IRA,,0,
ira_withdrawal_A,2007,WLTH,S817A,,Retirement/IRA,,0,
wlth_s800,2007,WLTH,S800,,Assets/Debt,,0,
wlth_s801,2007,WLTH,S801,,Assets/Debt,,0,
wlth_s802,2007,WLTH,S802,,Assets/Debt,,0,
wlth_s802a,2007,WLTH,S802A,,Assets/Debt,,0,
wlth_s803,2007,WLTH,S803,,Assets/Debt,,0,
wlth_s803a,2007,WLTH,S803A,,Assets/Debt,,0,
wlth_s804,2007,WLTH,S804,,Assets/Debt,,0,
wlth_s804a,2007,WLTH,S804A,,Assets/Debt,,0,
wlth_s805,2007,WLTH,S805,,Assets/Debt,,0,
wlth_s805a,2007,WLTH,S805A,,Assets/Debt,,0,
wlth_s806,2007,WLTH,S806,,Assets/Debt,,0,
wlth_s806a,2007,WLTH,S806A,,Assets/Debt,,0,
wlth_s807,2007,WLTH,S807,,Assets/Debt,,0,
wlth_s807a,2007,WLTH,S807A,,Assets/Debt,,0,
wlth_s808,2007,WLTH,S808,,Assets/Debt,,0,
wlth_s808a,2007,WLTH,S808A,,Assets/Debt,,0,
wlth_s809,2007,WLTH,S809,,Assets/Debt,,0,
wlth_s809a,2007,WLTH,S809A,,Assets/Debt,,0,
wlth_s810,2007,WLTH,S810,,Assets/Debt,,0,
wlth_s810a,2007,WLTH,S810A,,Assets/Debt,,0,
wlth_s811,2007,WLTH,S811,,Assets/Debt,,0,
wlth_s811a,2007,WLTH,S811A,,Assets/Debt,,0,
fam_er42001,2009,FAM,ER42001,,FAM/Unknown,,0,
fam_er42002,2009,FAM,ER42002,,FAM/Unknown,,0,
fam_er42003,2009,FAM,ER42003,,FAM/Unknown,,0,
fam_er42004,2009,FAM,ER42004,,FAM/Unknown,,0,
fam_er42005,2009,FAM,ER42005,,FAM/Unknown,,0,
fam_er42006,2009,FAM,ER42006,,FAM/Unknown,,0,
fam_er42007,2009,FAM,ER42007,,FAM/Unknown,,0,
fam_er42008,2009,FAM,ER42008,,FAM/Unknown,,0,
fam_er42009,2009,FAM,ER42009,,FAM/Unknown,,0,
fam_er42010,2009,FAM,ER42010,,FAM/Unknown,,0,
fam_er42011,2009,FAM,ER42011,,FAM/Unknown,,0,
fam_er42012,2009,FAM,ER42012,,FAM/Unknown,,0,
fam_er42013,2009,FAM,ER42013,,FAM/Unknown,,0,
fam_er42014,2009,FAM,ER42014,,FAM/Unknown,,0,
fam_er42015,2009,FAM,ER42015,,FAM/Unknown,,0,
fam_er42016,2009,FAM,ER42016,,FAM/Unknown,,0,
fam_er42017,2009,FAM,ER42017,,FAM/Unknown,,0,
fam_er42018,2009,FAM,ER42018,,FAM/Unknown,,0,
fam_er42019,2009,FAM,ER42019,,FAM/Unknown,,0,
fam_er42020,2009,FAM,ER42020,,FAM/Unknown,,0,
fam_er42021,2009,FAM,ER42021,,FAM/Unknown,,0,
fam_er42022,2009,FAM,ER42022,,FAM/Unknown,,0,
fam_er42023,2009,FAM,ER42023,,FAM/Unknown,,0,
fam_er42024,2009,FAM,ER42024,,FAM/Unknown,,0,
fam_er42025,2009,FAM,ER42025,,FAM/Unknown,,0,
fam_er42026,2009,FAM,ER42026,,FAM/Unknown,,0,
fam_er42027,2009,FAM,ER42027,,FAM/Unknown,,0,
fam_er42028,2009,FAM,ER42028,,FAM/Unknown,,0,
fam_er42029,2009,FAM,ER42029,,FAM/Unknown,,0,
fam_er42030,2009,FAM,ER42030,,FAM/Unknown,,0,
fam_er42031,2009,FAM,ER42031,,FAM/Unknown,,0,
